scenario_id,active_pcs,traffic_type,traffic_intensity,avg_delay,packet_loss,throughput,label,distance_m,velocity_mps,doppler_shift_hz,path_loss_db,fading_depth_db,interference_dbm,freq_variation_hz,fading_rate,rssi_dbm,snr_db,ber,channel_variation,handovers,modulation,access_technology
S34,15,ICMP,Very High,3.964,0.37,Low,Abnormal,205.1,0.07,-1.21,86.29,9.94,-59.7,5.03,0.411,-88.67,10.24,1.29e-05,0.23,5,BPSK,OFDMA
S35,3,HTTP (bursty),Low,0.13,0.0,High,Normal,92.5,0.51,-2.71,79.37,1.53,-88.61,9.6,0.152,-65.02,36.06,1.00e-08,0.118,3,16-QAM,TDMA
S36,2,HTTP,Low,0.02,0.0,High,Normal,50.7,1.66,-0.59,74.15,1.19,-90.63,6.7,0.144,-54.21,42.89,1.00e-08,0.084,3,16-QAM,TDMA
S37,7,HTTP (Continuous),Medium,1.507,0.08,Medium,Abnormal,207.7,1.12,0.58,86.39,4.75,-79.71,5.06,0.211,-87.52,13.57,1.00e-08,0.104,4,BPSK,CDMA
S38,13,ICMP,High,3.177,0.37,Low,Abnormal,331.8,0.12,2.01,90.46,10.82,-61.73,3.9,0.363,-90.47,11.0,1.70e-06,0.265,7,BPSK,OFDMA
S39,13,ICMP + HTTP (alternating),Very High,2.5,0.35,Very Low,Abnormal,479.1,0.88,-0.88,93.65,9.42,-62.66,4.08,0.385,-101.32,0.18,1.76e-01,0.25,5,BPSK,OFDMA
S40,7,ICMP + HTTP (alternating),Medium,1.471,0.06,Medium,Abnormal,158.6,0.41,-0.75,84.05,2.36,-75.59,7.11,0.208,-82.26,14.9,1.00e-08,0.117,5,BPSK,CDMA
S41,11,Ping,High,1.922,0.18,Medium,Abnormal,171.0,0.99,2.22,84.71,7.37,-66.85,4.85,0.253,-79.12,21.76,1.00e-08,0.198,6,QPSK,OFDMA
S42,7,ICMP,Medium,1.308,0.08,Medium,Abnormal,130.3,0.12,-0.7,82.34,-0.18,-79.61,3.94,0.213,-80.01,17.85,1.00e-08,0.158,3,QPSK,CDMA
S43,9,Ping (intermittent),High,1.595,0.23,Low,Abnormal,322.7,0.93,3.99,90.22,7.83,-70.38,5.59,0.275,-94.39,7.94,9.92e-04,0.204,4,BPSK,CDMA
S44,6,ICMP,Medium,1.148,0.11,Medium,Abnormal,215.8,0.16,0.2,86.73,4.18,-77.22,7.85,0.206,-88.21,11.21,9.10e-07,0.144,2,BPSK,FDMA
S45,10,HTTP (Continuous),High,2.19,0.16,Medium,Abnormal,183.7,0.45,-0.14,85.33,4.32,-70.53,4.83,0.262,-80.26,19.6,1.00e-08,0.148,6,QPSK,CDMA
S46,1,ICMP,Low,0.16,0.01,High,Normal,48.4,2.9,-9.97,73.74,2.99,-95.26,11.03,0.179,-53.69,46.05,1.00e-08,0.119,3,16-QAM,TDMA
S47,3,HTTP,Low,0.11,0.02,High,Normal,77.2,2.56,-6.85,77.8,3.17,-86.02,8.95,0.187,-64.08,33.9,1.00e-08,0.085,3,16-QAM,TDMA
S48,10,Mixed (Ping+HTTP),High,2.314,0.21,Medium,Abnormal,202.1,0.27,-0.2,86.16,7.52,-71.74,7.3,0.296,-89.34,10.87,2.47e-06,0.141,6,BPSK,CDMA
S49,4,HTTP,Low,0.45,0.0,Medium,Normal,158.6,2.4,-12.94,84.05,1.08,-84.76,11.61,0.169,-75.33,23.99,1.00e-08,0.088,2,QPSK,FDMA
S50,3,Mixed (Ping+HTTP),Low,0.2,0.0,High,Normal,74.0,2.36,13.29,77.43,1.77,-89.02,12.06,0.112,-61.93,38.78,1.00e-08,0.093,1,16-QAM,TDMA
S51,12,HTTP,Very High,2.887,0.36,Very Low,Abnormal,322.1,1.11,1.45,90.21,10.1,-69.61,7.84,0.346,-95.88,3.36,5.72e-02,0.204,4,BPSK,OFDMA
S52,8,Ping Storm,Medium,0.829,0.13,Medium,Abnormal,216.9,0.83,0.6,86.77,6.66,-72.13,4.86,0.265,-88.8,10.44,7.82e-06,0.117,3,BPSK,CDMA
S53,12,Ping,High,2.54,0.4,Very Low,Abnormal,335.5,1.29,12.86,90.56,12.46,-67.7,11.06,0.421,-99.11,1.86,1.08e-01,0.255,7,BPSK,OFDMA
S54,15,HTTP (Continuous),Very High,2.932,0.32,Very Low,Abnormal,413.4,1.19,8.38,92.37,8.92,-57.81,9.97,0.378,-94.65,5.27,1.73e-02,0.227,4,BPSK,OFDMA
S55,13,Mixed (Ping+HTTP),High,3.864,0.43,Low,Abnormal,341.1,0.31,1.02,90.7,12.26,-62.14,1.73,0.403,-92.99,6.73,4.50e-03,0.279,7,BPSK,OFDMA
S56,3,HTTP,Medium,0.39,0.0,High,Normal,45.7,1.08,7.93,73.24,2.34,-90.08,12.18,0.12,-53.54,47.17,1.00e-08,0.062,2,16-QAM,TDMA
S57,11,ICMP,High,1.979,0.25,Low,Abnormal,320.5,0.11,-1.0,90.16,9.8,-69.0,2.57,0.319,-95.09,6.56,5.40e-03,0.19,3,BPSK,OFDMA
S58,10,ICMP + HTTP (alternating),High,2.758,0.15,Low,Abnormal,281.7,1.33,-8.4,89.04,5.57,-70.28,8.48,0.257,-83.42,15.05,1.00e-08,0.171,5,QPSK,CDMA
S59,8,HTTP (Continuous),Medium,0.745,0.07,Medium,Abnormal,169.1,1.14,4.55,84.61,3.62,-76.2,7.24,0.223,-76.7,21.79,1.00e-08,0.104,3,QPSK,CDMA
S60,4,Ping,Low,0.13,0.0,Medium,Normal,202.9,1.32,-5.46,86.19,1.43,-80.32,10.52,0.155,-80.3,20.07,1.00e-08,0.076,3,QPSK,FDMA
S61,12,HTTP (Continuous),High,3.208,0.34,Low,Abnormal,327.0,1.24,12.2,90.34,9.69,-62.72,13.9,0.354,-90.82,10.3,1.11e-05,0.196,6,BPSK,OFDMA
S62,12,Mixed (Ping+HTTP),High,2.644,0.46,Very Low,Abnormal,376.4,1.05,8.55,91.56,14.85,-65.46,8.66,0.392,-94.64,4.76,2.51e-02,0.313,4,BPSK,OFDMA
S63,3,Ping,Medium,0.33,0.02,High,Normal,76.9,0.79,-10.23,77.76,2.52,-89.1,14.0,0.21,-63.19,36.88,1.00e-08,0.089,1,16-QAM,TDMA
S64,15,Mixed (light Ping + HTTP),High,3.678,0.36,Very Low,Abnormal,470.1,0.41,1.2,93.49,8.99,-55.12,5.39,0.398,-99.37,1.87,1.07e-01,0.274,7,BPSK,OFDMA
S65,1,HTTP,Low,0.05,0.0,High,Normal,109.2,1.62,-1.88,80.81,3.47,-95.83,8.4,0.198,-63.52,36.58,1.00e-08,0.118,3,16-QAM,TDMA
S66,6,HTTP (bursty),Medium,1.418,0.12,Medium,Abnormal,105.2,1.12,-2.44,80.49,5.37,-81.83,7.35,0.254,-67.67,32.12,1.00e-08,0.138,4,16-QAM,FDMA
S67,1,HTTP (bursty),Low,0.09,0.0,High,Normal,109.6,2.69,0.74,80.84,1.82,-92.85,6.1,0.115,-71.47,24.65,1.00e-08,0.077,3,QPSK,TDMA
S68,3,Ping,Medium,0.31,0.01,High,Normal,92.0,2.63,-17.31,79.32,2.87,-89.01,15.33,0.178,-65.42,31.54,1.00e-08,0.057,0,16-QAM,TDMA
S69,9,HTTP (bursty),High,2.042,0.23,Low,Abnormal,219.9,1.03,5.29,86.89,8.18,-69.15,9.63,0.248,-84.21,15.68,1.00e-08,0.168,3,QPSK,CDMA
S70,1,HTTP (bursty),Low,0.14,0.0,High,Normal,63.5,1.44,11.03,76.1,0.73,-93.0,14.27,0.117,-54.81,46.63,1.00e-08,0.1,1,16-QAM,TDMA
S71,10,Ping Storm,High,2.701,0.17,Low,Abnormal,264.6,0.87,3.03,88.5,5.4,-72.14,6.38,0.231,-95.32,7.91,1.04e-03,0.197,5,BPSK,CDMA
S72,14,ICMP,High,2.584,0.43,Very Low,Abnormal,420.6,0.64,6.86,92.52,13.13,-61.1,8.49,0.406,-96.74,5.21,1.81e-02,0.301,6,BPSK,OFDMA
S73,11,ICMP,High,2.505,0.25,Medium,Abnormal,102.6,1.25,9.21,80.27,8.35,-66.55,13.82,0.325,-85.89,16.24,1.00e-08,0.168,5,QPSK,OFDMA
S74,8,Ping,Medium,1.083,0.12,Medium,Abnormal,126.3,0.29,-1.33,82.07,5.06,-78.41,6.7,0.186,-70.5,30.71,1.00e-08,0.161,3,16-QAM,CDMA
S75,14,ICMP,Very High,4.069,0.47,Low,Abnormal,278.5,1.1,7.06,88.94,15.34,-59.52,9.72,0.479,-88.97,13.45,1.00e-08,0.259,7,BPSK,OFDMA
S76,12,HTTP,Very High,4.095,0.41,Very Low,Abnormal,492.8,0.44,-6.16,93.9,12.63,-67.12,5.84,0.421,-99.67,2.56,8.24e-02,0.246,6,BPSK,OFDMA
S77,2,ICMP,Low,0.16,0.0,High,Normal,47.2,1.49,10.09,73.52,2.67,-90.01,10.73,0.164,-57.97,40.48,1.00e-08,0.088,2,16-QAM,TDMA
S78,5,ICMP,Medium,0.28,0.0,Medium,Normal,209.8,1.05,11.48,86.48,2.98,-86.42,11.15,0.141,-73.68,29.11,1.00e-08,0.074,3,16-QAM,FDMA
S79,6,Ping (intermittent),Medium,0.923,0.11,Medium,Abnormal,113.9,0.35,-2.54,81.18,5.37,-77.07,6.56,0.225,-80.01,21.64,1.00e-08,0.161,5,QPSK,FDMA
S80,4,ICMP,Low,0.53,0.0,Medium,Normal,212.7,1.2,-8.29,86.6,2.22,-82.88,8.46,0.136,-75.67,24.16,1.00e-08,0.122,2,QPSK,FDMA
S81,2,HTTP,Low,0.1,0.0,High,Normal,44.8,1.19,-4.16,73.07,1.41,-88.84,8.39,0.197,-53.71,47.57,1.00e-08,0.129,1,16-QAM,TDMA
S82,14,Mixed (light Ping + HTTP),High,3.621,0.27,Very Low,Abnormal,295.1,1.15,8.16,89.45,9.18,-56.05,9.01,0.277,-94.04,5.89,1.03e-02,0.17,5,BPSK,OFDMA
S83,9,HTTP (bursty),High,2.142,0.19,Medium,Abnormal,164.8,1.2,10.1,84.39,6.35,-74.72,12.19,0.216,-75.92,25.18,1.00e-08,0.135,3,16-QAM,CDMA
S84,7,Mixed (light Ping + HTTP),Medium,1.571,0.09,Medium,Abnormal,157.1,1.17,1.85,83.97,5.17,-76.0,8.91,0.158,-80.36,16.69,1.00e-08,0.123,2,QPSK,CDMA
S85,6,Ping,Medium,0.717,0.1,Medium,Abnormal,107.3,0.72,0.39,80.66,3.43,-79.34,1.84,0.221,-72.34,27.33,1.00e-08,0.134,4,16-QAM,FDMA
S86,14,Ping (intermittent),High,2.784,0.29,Low,Abnormal,244.8,0.9,8.52,87.82,8.19,-60.07,12.52,0.285,-92.08,5.38,1.59e-02,0.235,7,BPSK,OFDMA
S87,4,HTTP (bursty),Low,0.22,0.0,Medium,Normal,154.2,1.07,1.17,83.81,2.3,-83.26,6.47,0.137,-71.85,30.1,1.00e-08,0.055,0,16-QAM,FDMA
S88,6,Ping (intermittent),Medium,1.334,0.08,Medium,Abnormal,111.2,0.14,4.8,80.97,4.48,-82.36,8.47,0.204,-75.58,25.09,1.00e-08,0.135,5,16-QAM,FDMA
S89,8,HTTP (bursty),Medium,1.073,0.08,Medium,Abnormal,204.2,1.08,-10.85,86.25,3.45,-76.22,13.19,0.17,-82.85,17.96,1.00e-08,0.143,4,QPSK,CDMA
S90,5,HTTP,Medium,0.22,0.01,Medium,Normal,196.9,2.61,-23.18,85.93,2.82,-85.01,21.72,0.109,-72.25,26.53,1.00e-08,0.075,1,16-QAM,FDMA
S91,12,Mixed (Ping+HTTP),High,2.915,0.29,Low,Abnormal,226.5,1.14,-9.97,87.15,9.76,-63.18,8.47,0.348,-87.78,13.77,1.00e-08,0.196,7,BPSK,OFDMA
S92,10,ICMP,High,2.471,0.26,Medium,Abnormal,140.9,0.56,-0.86,83.02,8.72,-72.55,2.2,0.261,-79.04,22.7,1.00e-08,0.176,6,QPSK,CDMA
S93,1,Ping,Low,0.17,0.01,High,Normal,78.9,1.61,8.47,77.99,1.76,-93.98,11.68,0.155,-62.4,37.37,1.00e-08,0.086,0,16-QAM,TDMA
S94,15,ICMP,Very High,2.577,0.3,Very Low,Abnormal,281.7,0.45,2.04,89.04,10.0,-56.33,4.72,0.281,-89.25,9.82,3.41e-05,0.226,6,BPSK,OFDMA
S95,4,HTTP (bursty),Medium,0.37,0.01,Medium,Normal,108.6,2.65,27.73,80.76,2.51,-83.3,24.42,0.177,-71.29,28.06,1.00e-08,0.056,2,16-QAM,FDMA
S96,10,Mixed (light Ping + HTTP),High,2.353,0.17,Low,Abnormal,209.2,1.42,2.15,86.46,5.9,-71.76,5.56,0.213,-84.76,15.84,1.00e-08,0.188,5,QPSK,CDMA
S97,6,ICMP,Medium,0.797,0.11,Medium,Abnormal,126.6,1.17,6.62,82.09,3.84,-78.81,8.09,0.262,-74.57,25.85,1.00e-08,0.114,3,16-QAM,FDMA
S98,12,HTTP (Continuous),High,2.573,0.43,Low,Abnormal,282.4,1.14,-3.16,89.06,13.51,-61.91,6.67,0.433,-93.94,4.43,3.12e-02,0.267,6,BPSK,OFDMA
S99,7,HTTP,Medium,0.763,0.1,Medium,Abnormal,203.7,0.94,9.64,86.23,4.95,-78.02,8.14,0.211,-81.38,18.13,1.00e-08,0.157,2,QPSK,CDMA
S100,12,HTTP (bursty),Very High,2.794,0.28,Very Low,Abnormal,421.8,1.47,11.6,92.55,8.18,-66.1,13.18,0.363,-100.17,0,1.84e-01,0.208,5,BPSK,OFDMA
S101,11,HTTP,High,2.015,0.28,Low,Abnormal,234.7,0.71,6.35,87.46,9.18,-66.02,10.45,0.318,-86.2,13.82,1.00e-08,0.197,4,BPSK,OFDMA
S102,9,HTTP (bursty),High,1.788,0.24,Medium,Abnormal,143.7,1.38,7.04,83.2,8.23,-75.48,6.29,0.307,-81.94,19.22,1.00e-08,0.177,5,QPSK,CDMA
S103,10,HTTP (Continuous),High,1.551,0.25,Medium,Abnormal,186.8,0.98,-5.61,85.47,7.61,-70.96,7.38,0.347,-86.65,11.78,1.40e-07,0.225,5,BPSK,CDMA
S104,12,ICMP,Very High,3.041,0.43,Low,Abnormal,275.0,0.97,6.51,88.83,13.83,-62.76,12.19,0.458,-90.32,9.33,9.48e-05,0.263,4,BPSK,OFDMA
S105,2,Ping,Low,0.11,0.0,High,Normal,69.0,0.95,9.22,76.82,1.63,-89.84,7.99,0.184,-59.79,42.28,1.00e-08,0.117,0,16-QAM,TDMA
S106,14,HTTP (bursty),High,3.27,0.33,Very Low,Abnormal,425.6,1.31,-0.74,92.63,9.78,-60.66,2.78,0.367,-103.14,0,1.84e-01,0.185,6,BPSK,OFDMA
S107,2,Ping,Low,0.17,0.0,High,Normal,94.1,1.09,0.44,79.52,3.62,-92.35,3.47,0.181,-64.95,32.26,1.00e-08,0.079,3,16-QAM,TDMA
S108,1,HTTP (bursty),Low,0.11,0.0,High,Normal,76.9,1.2,4.58,77.76,-0.56,-93.39,9.92,0.18,-61.59,39.28,1.00e-08,0.101,2,16-QAM,TDMA
S109,13,Mixed (Ping+HTTP),Very High,3.731,0.41,Low,Abnormal,274.3,0.15,0.4,88.81,11.59,-62.37,7.62,0.361,-91.71,9.29,1.03e-04,0.25,6,BPSK,OFDMA
S110,6,HTTP (Continuous),Medium,1.298,0.08,Medium,Abnormal,211.7,0.62,0.88,86.56,3.31,-78.59,2.19,0.17,-88.45,12.17,3.00e-08,0.109,3,BPSK,FDMA
S111,4,ICMP,Medium,0.24,0.0,Medium,Normal,116.5,1.22,-8.94,81.37,1.48,-85.6,7.29,0.108,-72.51,27.38,1.00e-08,0.094,3,16-QAM,FDMA
S112,11,HTTP,High,2.797,0.27,Medium,Abnormal,113.3,0.43,7.7,81.13,9.75,-66.88,11.95,0.308,-72.32,29.77,1.00e-08,0.159,4,16-QAM,OFDMA
S113,10,HTTP,High,2.6,0.17,Low,Abnormal,302.2,0.44,1.17,89.65,7.29,-68.86,5.48,0.238,-91.32,6.14,8.19e-03,0.159,3,BPSK,CDMA
S114,7,ICMP,Medium,1.342,0.13,Medium,Abnormal,146.9,0.71,-3.79,83.39,6.01,-77.68,3.77,0.257,-84.28,17.74,1.00e-08,0.164,4,QPSK,CDMA
S115,15,Mixed (Ping+HTTP),Very High,3.325,0.48,Low,Abnormal,202.7,0.53,-1.47,86.18,12.53,-59.74,5.38,0.406,-89.74,9.5,6.73e-05,0.245,5,BPSK,OFDMA
S116,12,Ping Storm,High,3.923,0.25,Very Low,Abnormal,289.6,0.3,-4.65,89.28,9.35,-65.98,11.18,0.304,-88.03,14.48,1.00e-08,0.179,4,BPSK,OFDMA
S117,4,HTTP (bursty),Medium,0.47,0.02,Medium,Normal,203.9,1.33,5.58,86.23,4.05,-85.18,7.61,0.209,-84.23,14.01,1.00e-08,0.132,2,BPSK,FDMA
S118,2,Mixed (Ping+HTTP),Low,0.05,0.01,High,Normal,104.1,2.32,18.08,80.4,0.76,-92.23,17.47,0.138,-63.79,37.27,1.00e-08,0.079,3,16-QAM,TDMA
S119,11,Ping (intermittent),High,2.482,0.26,Medium,Abnormal,120.0,0.67,-0.07,81.63,6.32,-69.1,5.53,0.335,-75.45,23.82,1.00e-08,0.195,4,QPSK,OFDMA
S120,7,Ping,Medium,1.335,0.07,Medium,Abnormal,214.3,0.21,-3.25,86.67,3.8,-78.02,3.75,0.22,-88.7,12.4,1.00e-08,0.126,5,BPSK,CDMA
S121,15,ICMP + HTTP (alternating),High,2.521,0.27,Very Low,Abnormal,488.7,0.56,-6.59,93.83,8.2,-59.82,7.36,0.273,-98.19,0.33,1.70e-01,0.203,6,BPSK,OFDMA
S122,4,Ping,Low,0.45,0.0,Medium,Normal,193.0,2.26,14.14,85.76,0.83,-86.99,17.89,0.12,-76.27,24.17,1.00e-08,0.064,3,QPSK,FDMA
S123,1,Mixed (Ping+HTTP),Low,0.13,0.01,High,Normal,119.8,2.53,-15.7,81.62,2.12,-93.14,14.02,0.136,-73.46,27.83,1.00e-08,0.11,1,16-QAM,TDMA
S124,3,Ping,Medium,0.26,0.01,High,Normal,103.5,1.77,17.09,80.34,2.42,-86.46,18.5,0.109,-70.28,29.24,1.00e-08,0.118,1,16-QAM,TDMA
S125,10,HTTP (Continuous),High,1.984,0.19,Low,Abnormal,284.0,0.13,5.37,89.11,6.75,-73.38,10.52,0.221,-95.49,3.48,5.38e-02,0.18,5,BPSK,CDMA
S126,2,HTTP,Low,0.15,0.01,High,Normal,50.3,2.57,-5.86,74.08,0.79,-91.79,6.01,0.156,-52.77,45.15,1.00e-08,0.095,2,16-QAM,TDMA
S127,3,ICMP,Low,0.13,0.01,High,Normal,53.2,1.31,-10.45,74.56,4.21,-84.44,10.07,0.17,-61.01,38.25,1.00e-08,0.078,0,16-QAM,TDMA
S128,3,HTTP,Medium,0.39,0.01,High,Normal,80.2,0.92,-7.72,78.13,3.08,-85.08,11.45,0.167,-61.57,36.82,1.00e-08,0.12,0,16-QAM,TDMA
S129,9,HTTP,High,1.566,0.22,Low,Abnormal,193.8,1.42,-8.74,85.79,8.19,-74.99,7.33,0.321,-86.84,12.36,2.00e-08,0.158,6,BPSK,CDMA
S130,2,ICMP,Low,0.08,0.01,High,Normal,63.8,0.68,3.36,76.14,1.18,-89.15,4.78,0.167,-62.04,40.17,1.00e-08,0.113,2,16-QAM,TDMA
S131,9,HTTP (bursty),High,1.544,0.18,Medium,Abnormal,217.0,0.2,-1.8,86.78,6.17,-74.04,4.0,0.218,-83.94,14.51,1.00e-08,0.142,4,BPSK,CDMA
S132,7,HTTP (bursty),Medium,1.592,0.06,Medium,Abnormal,197.6,1.4,-4.41,85.96,3.72,-76.4,11.06,0.183,-78.66,20.13,1.00e-08,0.105,5,QPSK,CDMA
S133,15,ICMP,Very High,2.943,0.45,Low,Abnormal,344.3,0.32,4.47,90.78,13.61,-55.35,7.42,0.424,-99.41,0,1.84e-01,0.288,7,BPSK,OFDMA
S134,2,Ping,Low,0.11,0.0,High,Normal,69.3,1.5,-0.02,76.86,2.43,-87.61,1.53,0.15,-61.25,37.54,1.00e-08,0.129,0,16-QAM,TDMA
S135,2,Ping,Low,0.07,0.0,High,Normal,50.3,0.74,6.12,74.08,1.89,-90.74,9.5,0.14,-55.35,45.06,1.00e-08,0.107,3,16-QAM,TDMA
S136,6,HTTP (bursty),Medium,1.197,0.08,Medium,Abnormal,162.3,0.22,-1.45,84.25,5.48,-76.44,4.24,0.187,-87.04,11.03,1.56e-06,0.123,5,BPSK,FDMA
S137,15,Mixed (Ping+HTTP),Very High,2.932,0.44,Very Low,Abnormal,435.9,0.45,-6.05,92.83,14.1,-54.87,10.81,0.437,-99.12,2.56,8.24e-02,0.303,5,BPSK,OFDMA
S138,13,Ping (intermittent),Very High,3.943,0.47,Low,Abnormal,302.6,0.88,6.62,89.66,12.79,-64.52,11.52,0.397,-95.73,3.93,4.22e-02,0.247,4,BPSK,OFDMA
S139,9,Ping (intermittent),High,1.851,0.24,Medium,Abnormal,152.9,0.63,2.37,83.73,9.13,-74.23,8.6,0.317,-85.04,13.05,1.00e-08,0.226,6,BPSK,CDMA
